FIPS,State,County,severe_cases,food_services,economic,community,mental_health,mobile_health,overwhelm,info
01001,Alabama,Autauga,60.41168369935493,47.74135681669928,49.04212586260171,51.17882769546175,60.32470826991374,45.27358888760984,48.423570341378564,58.32517938682322
01003,Alabama,Baldwin,60.85562078712764,43.81115459882583,40.99890136299653,58.44748858447488,61.82141045154744,39.62338360001535,44.16902225121404,71.68134377038487
01005,Alabama,Barbour,80.60629122272958,70.9637964774951,75.6746317849418,71.65222253284877,69.55135174313256,79.91730938950923,70.51895339566572,44.94455316373125
01007,Alabama,Bibb,66.50539972457781,58.30071754729289,48.87647200192262,72.78445624825271,69.00775530912517,55.24442653773839,56.04026237587881,49.30691454664057
01009,Alabama,Blount,69.8086540552294,43.025657751685145,39.85391561094517,73.45307986208182,69.7180546495615,72.64494839031502,65.3883090526926,50.595238095238095
01011,Alabama,Bullock,78.3594259621657,78.26157860404436,79.42029731863907,71.86655484111454,60.6979778212655,78.76232684854763,72.36989925346089,29.240052185257664
01013,Alabama,Butler,86.89570196419513,68.04740160904544,70.82689600714114,69.25263255987328,64.46691309705008,75.679175779901,76.9959049068638,49.339530332681015
01015,Alabama,Calhoun,77.73429006305719,63.358882365731674,66.27785216465821,50.33547665641599,62.169312169312164,62.83623038256398,60.05925201130681,40.957273320287015
01017,Alabama,Chambers,82.00514604624192,72.48314851054577,67.644281937721,43.36501723977263,60.24860476915271,71.08802425079621,68.47774878596795,24.266144814090023
01019,Alabama,Cherokee,66.95296078857723,52.78321374211785,48.83183987365675,62.69685956574411,73.43263028194535,71.07555350907485,65.05671522794809,33.6105675146771
01021,Alabama,Chilton,71.33616003479017,54.49282452707111,57.63724379441755,49.016867020780914,55.50119591215482,75.9631249760178,66.9665506994274,31.718851924331375
01023,Alabama,Choctaw,78.6439080959629,72.48314851054577,64.91313901191334,46.174634237256534,45.27071102413568,78.61939296266452,70.31148075668624,13.61709067188519
01025,Alabama,Clarke,76.08356889178806,74.6983039791259,74.26099495313628,45.287018917155905,51.917083423932745,70.72445416522774,64.22501268391679,17.23744292237443
01027,Alabama,Clay,66.80437776328188,59.779299847793,48.73828406633021,59.37004938961887,73.26230339928969,74.99328498522698,65.70540697253027,31.498695368558383
01029,Alabama,Cleburne,55.83278973689932,55.09078060447923,51.71747862807704,65.28049575994783,66.27165325795463,72.57204251563638,59.191309705008344,34.71950424005218
01031,Alabama,Coffee,62.91766326012902,50.905088062622305,50.247193325780195,46.2258876153201,51.12705660650866,53.69613598864203,49.35221424947452,52.91095890410959
01033,Alabama,Colbert,69.94092918750454,55.441400304414,58.3444913653998,41.615413288603115,53.50438501123433,56.06749549134723,55.50663187649489,30.528375733855185
01035,Alabama,Conecuh,81.89461477132708,75.0951293759513,64.13636831805542,76.68437237908861,64.54664057403784,82.04692836038525,74.64303834166847,24.98369210697978
01037,Alabama,Coosa,73.24237153004277,68.12078712763643,57.481031345487,69.10819122169416,69.40639269406392,86.5747668930586,79.75284482133796,29.07697325505545
01039,Alabama,Covington,72.89809378850474,57.09393346379647,62.14079719847565,53.932531916876336,59.38247445096761,65.0464295307164,59.855403348554034,34.377038486627534
01041,Alabama,Crenshaw,68.01297383489164,68.53392041748207,57.1711813781028,61.04976237070171,56.34920634920635,78.72779248685777,69.6401391606871,36.53783431180692
01043,Alabama,Cullman,74.42922374429223,44.57218960643618,41.21691214337213,58.40322430342001,68.69971732985431,66.39326963662178,56.245017032688274,34.8091976516634
01045,Alabama,Dale,72.74407479886933,66.90584909762993,61.42153328526796,55.20920697045943,64.41980140610278,68.00966962127318,65.19805030079003,47.34181343770385
01047,Alabama,Dallas,85.74146553598608,77.39454229180257,84.37703848662753,61.562296151337236,61.24157425527288,67.39092897432946,65.70721896064362,19.006849315068493
01049,Alabama,DeKalb,70.41023410886424,57.20537073276799,59.34528101074604,70.19383095704033,73.66094078422846,67.19811212156097,55.23845763571791,55.19406392694064
01051,Alabama,Elmore,65.53236210770457,49.93476842791911,39.33807120541079,60.851737955456166,65.1264767703124,49.639307777905685,57.13651518446039,67.07436399217221
01053,Alabama,Escambia,81.10821193012971,69.63470319634703,67.11298794932536,51.99888174447861,66.09045444661884,78.2337592571275,70.37490034065378,25.13861709067189
01055,Alabama,Etowah,77.9317967674132,61.16547075451185,57.00381089710579,49.4152455502749,55.83097774878597,58.42350638885691,55.9152351960571,43.22407045009785
01057,Alabama,Fayette,68.11625715735306,57.97184170471842,60.38984447419921,76.86142950330817,78.27426252083787,67.61828018878784,55.86540552293977,23.931833007175474
01059,Alabama,Franklin,73.56128143799377,59.705914329202,57.57372884265459,71.48914360264655,67.8082191780822,71.70100917079161,56.35464231354642,43.012067840834966
01061,Alabama,Geneva,70.15474378488076,56.47966949336812,60.86620661242146,69.3714472090206,70.22178734507501,79.75710832278115,67.73664564760455,35.15981735159818
01063,Alabama,Greene,76.91708342393272,80.32180908893237,82.9084698046486,66.19839716708601,60.67985794013191,76.18184260005371,68.87185620062333,17.95499021526419
01065,Alabama,Hale,81.29122272957888,69.87116764514025,78.65640127716551,86.58326344236326,72.33456548525042,81.00610107056522,72.8872218598246,26.26386170906719
01067,Alabama,Henry,68.66347756758717,55.29734724940204,52.477083118755786,44.35746901500326,56.6572443284772,75.65519358428303,65.04493730521128,24.73091976516634
01069,Alabama,Houston,70.96651445966515,65.83496412263536,63.002540598070524,59.72183393905507,59.868087265347526,49.86474041671464,51.14698847575559,53.15557729941291
